福島第一原子力発電所　仮設モニタリングポストによる定点観測状況
Date,Time,事務本館南側線量率(mSv/h),正門線量率(μSv/h),西門線量率(μSv/h)
2011/4/30,0:00,443,49,19
2011/4/30,0:30,440,48,20
2011/4/30,1:00,444,49,20
2011/4/30,1:30,442,48,20
2011/4/30,2:00,442,49,19
2011/4/30,2:30,441,49,20
2011/4/30,3:00,443,49,20
2011/4/30,3:30,440,49,19
2011/4/30,4:00,442,49,19
2011/4/30,4:30,441,49,19
2011/4/30,5:00,443,49,20
2011/4/30,5:30,441,49,20
2011/4/30,6:00,443,49,20
2011/4/30,6:30,443,49,19
2011/4/30,7:00,444,49,19
2011/4/30,7:30,443,49,20
2011/4/30,8:00,439,49,19
2011/4/30,8:30,439,49,19
2011/4/30,9:00,433,50,19
2011/4/30,9:30,433,50,19
2011/4/30,10:00,430,50,19
2011/4/30,10:30,432,50,19
2011/4/30,11:00,429,,19
2011/4/30,11:30,431,49,19
2011/4/30,12:00,430,49,19
2011/4/30,12:30,429,49,19
2011/4/30,13:00,430,49,19
2011/4/30,13:30,429,49,19
2011/4/30,14:00,430,49,19
2011/4/30,14:30,429,49,19
2011/4/30,15:00,430,49,19
2011/4/30,15:30,429,49,19
2011/4/30,16:00,429,49,19
2011/4/30,16:30,429,49,19
2011/4/30,17:00,428,49,19
2011/4/30,17:30,428,49,19
2011/4/30,18:00,426,49,18
2011/4/30,18:30,427,49,18
2011/4/30,19:00,430,49,18
2011/4/30,19:30,428,49,18
2011/4/30,20:00,428,49,19
2011/4/30,20:30,429,49,19
2011/4/30,21:00,428,48,19
2011/4/30,21:30,430,49,19
2011/4/30,22:00,430,49,19
2011/4/30,22:30,436,48,19
2011/4/30,23:00,432,48,19
2011/4/30,23:30,432,48,19
2011/4/29,0:00,436,48,19
2011/4/29,0:30,439,49,19
2011/4/29,1:00,440,49,20
2011/4/29,1:30,440,49,19
2011/4/29,2:00,443,49,20
2011/4/29,2:30,439,48,20
2011/4/29,3:00,442,48,19
2011/4/29,3:30,442,49,20
2011/4/29,4:00,441,49,20
2011/4/29,4:30,444,48,20
2011/4/29,5:00,440,49,20
2011/4/29,5:30,442,49,20
2011/4/29,6:00,441,49,19
2011/4/29,6:30,439,49,20
2011/4/29,7:00,442,49,19
2011/4/29,7:30,441,49,19
2011/4/29,8:00,439,49,19
2011/4/29,8:30,439,49,19
2011/4/29,9:00,438,49,19
2011/4/29,9:30,434,49,19
2011/4/29,10:00,430,49,19
2011/4/29,10:30,429,49,19
2011/4/29,11:00,428,49,19
2011/4/29,11:30,427,49,19
2011/4/29,12:00,427,49,19
2011/4/29,12:30,426,49,19
2011/4/29,13:00,426,49,19
2011/4/29,13:30,425,49,19
2011/4/29,14:00,424,49,19
2011/4/29,14:30,424,49,19
