福島第一原子力発電所　仮設モニタリングポストによる定点観測状況
Date,Time,事務本館南側線量率(mSv/h),正門線量率(μSv/h),西門線量率(μSv/h)
2011/5/16,0:00,396,-,16
2011/5/16,0:30,397,-,16
2011/5/16,1:00,398,-,16
2011/5/16,1:30,395,-,16
2011/5/16,2:00,395,-,16
2011/5/16,2:30,396,-,16
2011/5/16,3:00,399,-,16
2011/5/16,3:30,396,-,16
2011/5/16,4:00,399,-,16
2011/5/16,4:30,397,-,16
2011/5/16,5:00,397,-,16
2011/5/16,5:30,398,-,16
2011/5/16,6:00,399,-,16
2011/5/16,6:30,398,-,16
2011/5/16,7:00,398,-,16
2011/5/16,7:30,397,-,16
2011/5/16,8:00,395,-,16
2011/5/16,8:30,393,-,16
2011/5/16,9:00,393,-,16
2011/5/16,9:30,392,-,16
2011/5/16,10:00,394,-,16
2011/5/16,10:30,392,-,16
2011/5/16,11:00,394,-,16
2011/5/16,11:30,392,-,-
2011/5/16,12:00,388,-,16
2011/5/16,12:30,390,-,16
2011/5/16,13:00,387,-,16
2011/5/16,13:30,392,-,15
2011/5/16,14:00,389,-,16
2011/5/16,14:30,387,-,15
2011/5/16,15:00,387,-,15
2011/5/16,15:30,384,-,15
2011/5/16,16:00,386,-,15
2011/5/16,16:30,389,-,15
2011/5/16,17:00,385,-,15
2011/5/16,17:30,388,-,15
2011/5/16,18:00,390,-,15
2011/5/16,18:30,389,-,15
2011/5/16,19:00,390,-,16
2011/5/16,19:30,391,-,15
2011/5/16,20:00,390,-,15
2011/5/16,20:30,392,-,16
2011/5/16,21:00,393,-,16
2011/5/15,0:00,395,-,16
2011/5/15,0:30,397,-,16
2011/5/15,1:00,396,-,16
2011/5/15,1:30,397,-,16
2011/5/15,2:00,397,-,16
2011/5/15,2:30,397,-,16
2011/5/15,3:00,397,-,16
2011/5/15,3:30,395,-,16
2011/5/15,4:00,397,-,16
2011/5/15,4:30,397,-,16
2011/5/15,5:00,398,-,16
2011/5/15,5:30,397,-,16
2011/5/15,6:00,399,-,16
2011/5/15,6:30,400,-,16
2011/5/15,7:00,397,-,16
2011/5/15,7:30,397,-,16
2011/5/15,8:00,395,-,16
2011/5/15,8:30,395,-,16
2011/5/15,9:00,392,-,16
2011/5/15,9:30,391,-,16
2011/5/15,10:00,389,-,16
2011/5/15,10:30,388,-,16
2011/5/15,11:00,389,-,16
2011/5/15,11:30,388,-,16
2011/5/15,12:00,384,-,16
2011/5/15,12:30,389,-,16
2011/5/15,13:00,389,-,16
2011/5/15,13:30,386,-,15
2011/5/15,14:00,385,-,15
2011/5/15,14:30,383,-,15
2011/5/15,15:00,379,-,15
2011/5/15,15:30,382,-,15
2011/5/15,16:00,382,-,15
2011/5/15,16:30,385,-,15
