112,4/4/11,37 48.751,140 26.564,,0.73,specno 5/6,
113,4/4/11,37 48.748,140 26.567,,2.3,,
121,4/4/11,37 46.587,140 27.935,52,1.31,,
125,4/4/11,37 45.385,140 27.965,98,2.2,,
126,4/4/11,37 45.432,140 27.968,35,0.9,,
130,4/4/11,37 43.989,140 28.691,65,2,,
135,4/4/11,37 39.801,140 35.798,30,0.85,Decon area,
136,4/4/11,37 39.587,140 36.140,75,1.6,,
144,4/4/11,37 37.451,140 38.681,50,1.6,,
145,4/4/11,37 37.444,140 38.676,90,2.5,,
146,4/4/11,37 37.093,140 38.912,,1.1,,
148,4/4/11,37 37.141,140 38.909,140,4,outskirts of Karamata,
150,4/4/11,37 37.138,140 38.923,420,17,high dose,
157,4/4/11,37 36.243,140 40.368,115,3,,
159,4/4/11,37 35.612,140 41.216,52,2,house on road,
160,4/4/11,37 35.620,140 41.214,130,3.5,,
162,4/4/11,37 35.029,140 41.895,85,3,,
163,4/4/11,37 35.032,140 41.892,240,7,house,
164,4/4/11,37 35.041,140 41.891,,8,,
165,4/4/11,37 35.039,140 41.892,,10,,
166,4/4/11,37 35.149,140 42.155,320,11.3,,
169,4/4/11,37 34.880,140 43.273,200,8.5,amie villiage,
170,4/4/11,37 34.890,140 43.236,300,14.5,scan 8,
174,4/4/11,37 33.919,140 44.620,240,11,,
178,4/4/11,37 34.687,140 45.409,140,10.1,,
179,4/4/11,37 35.000,140.45.549,310,15.8,,
180,4/4/11,37 34.983,140 45.546,,14,,
181,4/4/11,37 35.853,140 44.870,260,18,,
182,4/4/11,37 35.844,140 44.952,350,30,,
183,4/4/11,37 35.217,140 45.330,365,28,,
189,4/4/11,37 36.769,140 44.949,200,7.8,,
190,4/4/11,37 36.772,140 44.959,257,11,,
